L_t0,S_t0,C_t0,L_t1,S_t1,C_t1,L_t2,S_t2,C_t2,L_t3,S_t3,C_t3,L_t4,S_t4,C_t4,L_t5,S_t5,C_t5,L_t6,S_t6,C_t6,L_t7,S_t7,C_t7,L_t8,S_t8,C_t8,L_t9,S_t9,C_t9,L_t10,S_t10,C_t10,L_t11,S_t11,C_t11,L_t12,S_t12,C_t12
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.304926626278229,-1.536567775565601,-1.459979684803747,5.528689903443532,-1.3839284163613224,-1.4804367196447035,5.633648954629628,-1.2909276718717007,-0.22517847517271883,5.2281721930536325,-0.3406728876136892,-1.057579480238735,5.2170472431060695,-0.2991508930847923,-1.6373824815425806,5.24203695453813,-0.526331712919393,-1.6017777226576186,5.540701816405772,-0.8744776632403053,-0.8064778806682364,4.978405758999984,-0.3803140799438655,1.1930155901625612,5.390368373116059,-0.9357155747233891,1.4677186883857796,5.759374665776032,-1.2830909597111648,1.216444189822167,5.80716325508433,-1.1846608635520144,0.16112971905287832,5.801365252399054,-0.7474938357900393,-0.5525630131154898
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.286766761566015,-1.6215359512051557,-2.0959147130674203,5.032090204633178,-1.677238144424771,-0.6233150159454524,4.879307201559155,-1.4293139219201147,-1.1033741235403371,4.779019286786259,-1.3076693559079786,-0.379516069698859,4.792694030729395,-1.0977715003333286,-1.2004523268202245,4.990635770006872,-1.0128023832802604,-1.468069686159144,4.816271378165343,-0.6769785069720462,-1.8322077056702413,5.3401618827036215,-1.2368611217752288,-1.855089782008209,5.361331295313387,-1.372353339248369,-2.613470820028943,5.156625380730712,-1.093284202245179,-2.13826827811343,5.075753134693658,-1.3330559848929777,-2.1790088607175404,4.661215409956639,-1.1305933549776277,-1.5210219049522993
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.723206051767249,-0.8549353720378751,-2.40076160553715,4.597038261192584,-0.5338308880185814,-2.9575049502092527,4.740157694200931,-1.0681518878492515,-1.8615716408880265,4.4428522000665245,-1.0458657183208988,-1.249701015035764,4.236148506389333,-0.9434733002034801,-0.984590550314921,4.048817733714311,-0.7812574814264593,-1.7818552792820277,4.308517788598965,-0.8878432444048362,-1.978161034888226,4.0875852898784,-0.5701725762905425,-2.404826162328973,4.455408428086488,-1.163859825264679,-1.1484143592598566,4.426710047949941,-1.1884772686113825,-1.3473703084743125,5.078084384212158,-1.88968975234441,-0.05973688046212833,5.495849085890635,-2.1582688917419732,0.784881184476793
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.847909309472447,-1.3875048323538985,-1.3766821337154278,4.759411951556356,-1.5997234469848798,-1.1191459537894994,4.531475485702229,-1.404022196913933,-1.729311388382107,4.699071345159164,-1.420048822381071,-2.6180931936182503,4.898303088144782,-1.7060629695509233,-2.2669015876101333,5.111780702678882,-2.0650245632698607,-2.390395776338072,4.8428095894324406,-1.9450289709682063,-1.2064388805084827,4.584209284078304,-1.219797375630554,-1.9361141669279402,4.182950155166008,-0.9200086993669937,-1.7735938980391606,3.857114854681455,-0.6437494852049477,-2.8356166195302883,3.921818137206954,-0.781700617987378,-3.113443751879349,4.155243030533312,-0.9995478291229687,-3.553822303219814
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.625538720768176,-0.6662643392567694,-3.5595146574309826,4.869109653928209,-0.8905028859021881,-2.4529996930028988,4.501433357069085,-0.7953221019937925,-2.5243222548532995,3.9602780820099235,-0.5042695319680028,-1.6172602432048677,4.163814040149583,-0.9476984339222689,-3.5858208775986786,4.160201820726269,-0.8604409129359821,-3.5919721762381016,4.091321378095694,-1.1350405537637587,-3.9862632010951975,4.002190311352802,-1.189094494849957,-3.1153502894133234,3.6923587752844766,-1.3808009247324893,-0.7083687389863935,3.41277125880689,-1.2107074998275278,-0.6849654384130927,3.3666770997426965,-1.3356896384287773,0.3700340880746704,3.302681662401126,-1.1038984484852437,0.6584811623440696
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.765357329399493,-1.149076323287401,-1.9886576598243988,4.394209349092841,-0.8896062483044965,-1.6723250287850049,4.4697904804378075,-1.367241678840767,-1.7174251684184136,4.356257636874001,-1.0757223898799915,-2.4062301065968663,4.283562463145935,-0.77043526609925,-1.0113768382005996,4.073826662286842,-0.5555847446361553,-0.08548508950977896,4.271076306242469,-0.6807702340358288,-0.3807617125807098,3.923347588083201,-0.26477601490123964,-1.6747577603978416,4.099215187911263,-0.28831730741517186,0.0609676397349701,4.059007469060874,-0.11921564640086538,-0.12789435992166637,4.157163552893279,-0.04738736430877202,-1.1101008457293786,4.221285048703392,-0.1947110204934166,-1.398047428789258
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.116234210692199,-1.7820932900736182,-2.020462290538005,5.523872764109706,-1.6879114503157548,-1.7334648516658802,5.0702006442567,-0.9100440205496462,-2.2408343568958236,4.926848720663491,-0.6468541730796549,-2.2316086442459553,4.742318230213972,-0.8746305528081797,-3.0059919632890657,4.696617389168553,-0.8630188848064555,-3.388075455254248,4.672321015376438,-1.0893280235752916,-3.319455391085642,4.3875387146210985,-1.1089822587605842,-3.597732849516452,4.574991910929592,-1.5602787818094959,-2.669838033185538,4.548547058437466,-1.4518862886200554,-1.9204760157975127,4.450180180990435,-1.3817829950970273,-2.83686161212153,4.770292820807818,-1.8967044024576214,-3.246851877008315
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.060554379219258,-1.3657542505123963,-2.2773726562418153,4.353603657701955,-0.5994270523211864,-2.6231294477283,4.443852973118336,-0.9799010718771173,-2.2162362158450915,4.4954305588061185,-1.480621925135284,-1.7468962359076603,4.228227017334824,-1.3028180487806402,-0.8713038199923618,4.556451397807667,-1.767214008728915,-0.646936438686524,4.356022575096012,-1.8528857270394872,-0.7299285619206266,3.9960914022177825,-1.694430313017984,-0.8085167335010894,3.8578554947554418,-1.394179662759902,-1.5282367958994967,3.822042425698863,-1.6466701559354908,-1.3371199042261617,3.753588164709376,-1.8089186618082815,-0.12029267071803718,3.7061202068350916,-1.6659174651896627,-0.35277443745163983
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.369345660693027,-1.5831884796031679,-2.744689383646974,5.227276551675393,-1.6942631125602077,-2.674682921141548,5.245484334317085,-1.4116179216812108,-2.7174346700614227,5.328509257270024,-1.3030456270765594,-3.9581604178985033,5.157253385155916,-1.3740122198882057,-5.293244941640252,4.916594687391534,-1.4654008454754044,-4.869920674369339,5.001828497176891,-1.793883095638138,-5.056561214913437,4.87506612337405,-1.721550000917562,-4.191152098315632,4.843952790513444,-1.8641205469354034,-3.8905572051514237,4.898108302980568,-2.517865912001513,-3.923158413961249,4.61923112789976,-2.4214104075606553,-2.783707467963683,4.54398319090475,-2.423137009604339,-1.3844226731313096
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.750768735441549,-0.8200176449713958,-2.0131515819732257,4.596998632811021,-0.809819093861283,-1.8570778436048878,4.452845040736419,-0.7757400576866482,-1.9870391236918943,4.172484555037407,-0.7251113289589439,-2.269581416220269,4.390190346178118,-1.3572098148615859,-2.9815266622660364,4.4322379495115465,-1.080157512007876,-3.370095746925711,4.4964460609699,-1.3463256237689194,-2.697298893321625,4.412418272902393,-1.5938505277514832,-2.0911350876800627,4.178689898754002,-1.2728157632284058,-1.6696716401937306,3.8488892134060135,-0.5851861692250913,-1.9636315639038922,3.791193464356669,-0.60197982500668,-1.6904395362444218,3.744878579067939,-0.6795463092633891,-1.3550977466481746
